code,sector,currentPrice,dailyLiquidity,dividend,dividendYield,dividendYieldAnnual,priceVariation,pvp,physicalVacancy,financialVacancy
KDIF11,Renda,"R$ 129,06",17945.0,"R$ 1,45","1,15%","1,15%","0,00%",N/A,N/A,N/A
KEVE11,Residencial,"R$ 999,98",127.0,"R$ 3,05","0,32%","0,32%","0,00%","1,06",N/A,N/A
KFOF11,Títulos e Val. Mob.,"R$ 77,61",5486.0,"R$ 0,72","0,93%","2,79%","-0,54%","0,90",N/A,N/A
KINP11,Residencial,"R$ 9,82",9168.0,"R$ 3,05","31,09%","36,11%","-4,38%","2,66",N/A,N/A
KISU11,Títulos e Val. Mob.,"R$ 7,77",155131.0,"R$ 0,07","0,91%","2,78%","-3,27%","0,95",N/A,N/A
KNCA11,Títulos e Val. Mob.,"R$ 106,02",33413.0,"R$ 1,40","1,35%","3,54%","-2,72%","1,04",N/A,N/A
KNCR11,Títulos e Val. Mob.,"R$ 97,43",119016.0,"R$ 1,22","1,27%","3,49%","-3,26%","0,97",N/A,N/A
KNHY11,Títulos e Val. Mob.,"R$ 98,00",18452.0,"R$ 1,30","1,34%","3,83%","-1,02%","0,98",N/A,N/A
KNIP11,Títulos e Val. Mob.,"R$ 90,93",55503.0,"R$ 1,05","1,16%","3,27%","-0,88%","0,95",N/A,N/A
KNRE11,Residencial,"R$ 0,65",8588.0,"R$ 0,04","6,74%","6,74%","0,00%","0,87",N/A,N/A
KNRI11,Híbrido,"R$ 144,00",23361.0,"R$ 0,95","0,69%","2,03%","0,26%","0,90","2,00%","6,72%"
KNSC11,Títulos e Val. Mob.,"R$ 85,67",25241.0,"R$ 1,05","1,24%","3,43%","-2,61%","0,97",N/A,N/A
LASC11,Shoppings,"R$ 99,50",736.0,"R$ 0,71","0,68%","6,44%","1,94%","0,98","2,40%",N/A
LFTT11,Residencial,"R$ 68,50",37.0,"R$ 1,32","1,94%","17,80%","-7,69%","1,79",N/A,N/A
LGCP11,Logística,"R$ 75,29",1644.0,"R$ 0,60","0,83%","2,40%","-6,20%","0,73","0,50%",N/A
LSAG11,,"R$ 106,89",245.0,"R$ 1,68","1,59%","4,10%","-0,95%","1,07",N/A,N/A
LUGG11,Residencial,"R$ 72,17",317.0,"R$ 0,58","0,82%","2,35%","-4,02%","0,61","2,40%",N/A
LVBI11,Logística,"R$ 100,50",12955.0,"R$ 0,75","0,80%","2,33%","-2,83%","0,87","0,50%","0,00%"
MALL11,Shoppings,"R$ 101,05",19410.0,"R$ 0,78","0,79%","2,35%","0,03%","0,84","4,00%",N/A
MATV11,Títulos e Val. Mob.,"R$ 74,69",50.0,"R$ 0,60","0,74%","1,98%","0,01%","0,82",N/A,N/A
MAXR11,Outros,"R$ 63,40",473.0,"R$ 0,74","1,14%","2,54%","2,97%","0,51","2,80%",N/A
MCCI11,Títulos e Val. Mob.,"R$ 84,67",38762.0,"R$ 0,95","1,09%","3,34%","4,11%","0,92",N/A,N/A
MCHF11,Títulos e Val. Mob.,"R$ 8,18",114566.0,"R$ 0,10","1,18%","3,47%","-3,30%","0,87",N/A,N/A
MCHY11,Títulos e Val. Mob.,"R$ 109,94",321.0,"R$ 1,40","1,26%","3,81%","0,82%","1,09",N/A,N/A
MFAI11,Híbrido,"R$ 55,29",116.0,"R$ 0,31","0,55%","2,55%","-0,96%","0,86",N/A,N/A
MFII11,Híbrido,"R$ 89,80",2899.0,"R$ 1,11","1,24%","3,54%","-5,44%","0,87",N/A,N/A
MGCR11,Títulos e Val. Mob.,"R$ 77,19",7522.0,"R$ 0,90","1,16%","3,35%","-1,17%","0,86",N/A,N/A
MGFF11,Títulos e Val. Mob.,"R$ 56,93",8934.0,"R$ 0,54","0,99%","2,98%","0,27%","0,79",N/A,N/A
MGHT11,Hotel,"R$ 59,38",1091.0,"R$ 0,80","1,36%","4,03%","-3,85%","0,69",N/A,N/A
MORC11,Títulos e Val. Mob.,"R$ 86,52",1278.0,"R$ 1,10","1,24%","3,63%","-3,96%","0,89",N/A,N/A
MORE11,Títulos e Val. Mob.,"R$ 60,30",4418.0,"R$ 0,60","0,99%","3,06%","-1,13%","0,72",N/A,N/A
MXRF11,Híbrido,"R$ 10,41",506744.0,"R$ 0,12","1,17%","3,42%","0,49%","1,03",N/A,N/A
NAVT11,Títulos e Val. Mob.,"R$ 73,40",788.0,"R$ 0,85","1,18%","3,57%","1,11%","0,82",N/A,N/A
NCHB11,Títulos e Val. Mob.,"R$ 77,06",5894.0,"R$ 1,03","1,29%","3,64%","-6,58%","0,85",N/A,N/A
NCRA11,,"R$ 10,38",19045.0,"R$ 0,14","1,34%","4,17%","0,29%","0,98",N/A,N/A
NCRI11,Títulos e Valores Mobiliários,"R$ 9,01",538.0,"R$ 0,11","1,22%","2,39%","-4,05%","0,88",N/A,N/A
NEWL11,Híbrido,"R$ 99,94",259.0,"R$ 0,93","0,94%","2,80%","-1,05%","0,83","0,00%",N/A
NEWU11,Lajes Corporativas,"R$ 73,49",24.0,"R$ 0,14","0,20%","0,59%","12,42%","1,07","63,20%",N/A
NSLU11,Hospital,"R$ 165,99",125.0,"R$ 1,54","0,96%","2,81%","-2,80%","0,85","0,00%",N/A
NVHO11,Hospital,"R$ 12,50",205.0,"R$ 0,09","0,71%","2,24%","11,63%","0,90",N/A,N/A
NVIF11B,Outros,N/A,N/A,"R$ 0,44","0,00%",N/A,"0,00%",N/A,N/A,N/A
OIAG11,,"R$ 9,73",26929.0,"R$ 0,15","1,38%","4,62%","1,78%","0,99",N/A,N/A
ONEF11,Lajes Corporativas,"R$ 174,00",159.0,"R$ 0,98","0,58%","1,71%","-2,41%","0,86","0,00%",N/A
ORPD11,Títulos e Val. Mob.,"R$ 11,00",50.0,"R$ 1,38",N/A,N/A,N/A,"0,07",N/A,N/A
OUFF11,Títulos e Val. Mob.,"R$ 59,80",4271.0,"R$ 0,70","1,15%","3,40%","-1,40%","0,85",N/A,N/A
OUJP11,Títulos e Val. Mob.,"R$ 90,69",9727.0,"R$ 1,25","1,38%","3,92%","-8,25%","0,91",N/A,N/A
OULG11,Outros,"R$ 36,69",1610.0,"R$ 0,41","1,14%","3,25%","-5,64%","0,55","0,00%",N/A
OURE11,Títulos e Val. Mob.,"R$ 71,27",4013.0,"R$ 1,00","1,34%","3,96%","0,56%","0,79",N/A,N/A
PABY11,Híbrido,"R$ 12,00",101.0,"R$ 0,00","0,00%","0,00%","-19,84%","-0,73",N/A,N/A
PATC11,Lajes Corporativas,"R$ 67,00",1985.0,"R$ 0,27","0,43%","1,08%","-6,41%","0,88","21,90%","18,90%"
PATL11,Híbrido,"R$ 65,02",13107.0,"R$ 0,60","0,97%","2,79%","-1,42%","0,66","0,00%","0,00%"
PLCA11,,"R$ 84,00",316.0,"R$ 1,12","1,29%","3,59%","-9,64%","0,88",N/A,N/A
PLCR11,Híbrido,"R$ 83,92",3966.0,"R$ 1,00","1,21%","3,57%","-1,61%","0,92",N/A,N/A
PLOG11,Logística,"R$ 70,78",271.0,"R$ 0,70","1,01%","3,10%","-3,36%","0,67","20,40%",N/A
PLRI11,Títulos e Val. Mob.,"R$ 22,10",40.0,"R$ 0,11","0,49%","1,57%","-6,60%","0,68",N/A,N/A
PORD11,Títulos e Val. Mob.,"R$ 82,12",9396.0,"R$ 1,00","1,22%","3,64%","-7,10%","0,84",N/A,N/A
PQAG11,Logística,"R$ 49,99",35.0,"R$ 0,44","0,86%","2,51%","-3,79%","0,87","0,00%",N/A
PQDP11,Shoppings,"R$ 1.680,00",22.0,"R$ 25,60","1,51%","2,86%","-17,37%","0,51","3,60%",N/A
PRSV11,Lajes Corporativas,"R$ 97,43",12.0,"R$ 1,62","0,42%","4,46%","5,30%","0,45","40,90%",N/A
PVBI11,Lajes Corporativas,"R$ 93,51",28362.0,"R$ 0,61","0,69%","2,12%","3,56%","0,92","0,10%",N/A
QAGR11,Outros,"R$ 42,40",4193.0,"R$ 0,42","1,02%","3,01%","-2,66%","0,76",N/A,N/A
QAMI11,Híbrido,"R$ 74,18",304.0,"R$ 0,85","1,09%","3,40%","-2,06%","0,81",N/A,N/A
QIRI11,Títulos e Val. Mob.,"R$ 78,04",39.0,"R$ 89,64","114,86%","121,86%","1,48%","0,87",N/A,N/A
RBDS11,Residencial,"R$ 2,45",59.0,"R$ 0,00","0,00%","0,00%","0,00%","0,12",N/A,N/A
RBED11,Outros,"R$ 120,52",1517.0,"R$ 1,26","1,04%","3,12%","-1,50%","0,84","0,00%",N/A
RBFF11,Títulos e Val. Mob.,"R$ 50,14",2291.0,"R$ 0,49","1,05%","2,98%","-8,28%","0,82",N/A,N/A
RBGS11,Shoppings,"R$ 28,45",5157.0,"R$ 0,18","0,62%","5,12%","-1,90%","0,31","13,00%",N/A
RBHG11,Títulos e Val. Mob.,"R$ 81,00",2330.0,"R$ 1,05","1,28%","3,72%","-1,78%","0,87",N/A,N/A
RBHY11,Títulos e Val. Mob.,"R$ 91,86",1155.0,"R$ 1,20","1,30%","3,79%","-3,17%","0,97",N/A,N/A
RBIF11,Renda,"R$ 98,00",39.0,"R$ 0,34","0,34%","0,34%","0,00%",N/A,N/A,N/A
RBIR11,Residencial,"R$ 72,18",114.0,"R$ 0,46","0,76%","0,76%","0,00%","0,76",N/A,N/A
RBLG11,Logística,"R$ 92,00",2.0,"R$ 0,88","0,96%","2,83%","-1,31%","0,92","0,00%",N/A
RBOP11,Outros,"R$ 422,05",90.0,"R$ 8,25","1,97%","1,97%","0,00%","0,55","0,00%",N/A
RBRD11,Híbrido,"R$ 33,91",304.0,"R$ 0,32","0,98%","2,85%","-3,41%","0,51","15,52%",N/A
RBRF11,Títulos e Val. Mob.,"R$ 66,10",27678.0,"R$ 0,63","0,98%","2,92%","0,97%","0,86",N/A,N/A
RBRL11,Logística,"R$ 71,77",7695.0,"R$ 0,58","0,83%","2,53%","-4,84%","0,68","0,00%","0,00%"
RBRP11,Outros,"R$ 45,30",11745.0,"R$ 0,27","0,61%","1,79%","-2,68%","0,58","13,00%","6,00%"
RBRR11,Títulos e Val. Mob.,"R$ 86,78",30133.0,"R$ 1,00","1,15%","3,41%","2,04%","0,92",N/A,N/A
RBRS11,Híbrido,"R$ 53,50",1135.0,"R$ 0,40","0,80%","2,29%","-6,04%","0,57",N/A,N/A
RBRY11,Títulos e Val. Mob.,"R$ 92,27",19651.0,"R$ 1,25","1,36%","3,84%","-2,41%","0,92",N/A,N/A
RBTS11,Outros,"R$ 1.121,00",20.0,"R$ 30,64","0,00%",N/A,"0,00%","1,02",N/A,N/A
RBVA11,Outros,"R$ 94,29",7616.0,"R$ 0,95","1,05%","3,09%","-1,55%","0,87","0,70%",N/A
RBVO11,Outros,"R$ 8,45",515.0,"R$ 0,01","0,11%","0,43%","-4,56%","0,49",N/A,N/A
RCRB11,Lajes Corporativas,"R$ 120,20",3429.0,"R$ 0,74","0,68%","1,97%","-4,69%","0,58","28,40%",N/A
RDPD11,Títulos e Val. Mob.,"R$ 23,55",546.0,"R$ 0,39","1,67%","4,26%","-13,70%","0,91",N/A,N/A
RECR11,Títulos e Val. Mob.,"R$ 79,06",58908.0,"R$ 1,26","1,64%","3,88%","-8,49%","0,83",N/A,N/A
RECT11,Híbrido,"R$ 50,20",13239.0,"R$ 0,54","1,08%","3,19%","-2,53%","0,54","15,10%",N/A
RECX11,Outros,"R$ 63,00",4.0,"R$ 0,70","1,03%","3,20%","4,69%","0,81",N/A,N/A
RELG11,Híbrido,"R$ 47,36",3239.0,"R$ 0,70","0,99%","1,98%","0,40%","0,39","10,40%","10,40%"
RFOF11,Títulos e Val. Mob.,"R$ 66,57",6097.0,"R$ 0,70","1,05%","3,09%","-0,49%","0,88",N/A,N/A
RMAI11,Lajes Corporativas,"R$ 46,00",37.0,"R$ 0,26","0,55%","1,58%","-4,08%","0,46","23,44%",N/A
RNDP11,Títulos e Val. Mob.,"R$ 105,24",63.0,"R$ 0,74","0,62%","1,36%","-24,22%","0,53",N/A,N/A
RNGO11,Lajes Corporativas,"R$ 49,00",3847.0,"R$ 0,43","0,91%","2,72%","0,64%","0,57","24,10%",N/A
RRCI11,Títulos e Val. Mob.,"R$ 78,89",554.0,"R$ 1,00","1,25%","3,54%","-4,92%","0,86",N/A,N/A
RSPD11,Residencial,"R$ 10,02",103.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,02",20507.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,02",22773.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,03",42904.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,03",45627.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,03",25802.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,03",31960.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,05",31636.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RSPD11,Residencial,"R$ 10,03",44516.0,"R$ 20,13","0,00%",N/A,"0,00%","0,01",N/A,N/A
RURA11,,"R$ 10,17",121842.0,"R$ 0,09","0,86%","2,86%","0,00%","1,01",N/A,N/A
RVBI11,Títulos e Val. Mob.,"R$ 73,00",1823.0,"R$ 0,75","1,05%","3,21%","3,04%","0,90",N/A,N/A
RZAG11,Títulos e Val. Mob.,"R$ 8,81",369059.0,"R$ 0,11","1,21%","3,72%","-6,89%","0,92",N/A,N/A
RZAK11,Títulos e Val. Mob.,"R$ 86,20",35196.0,"R$ 1,11","1,25%","3,77%","-3,26%","0,93",N/A,N/A
RZTR11,Híbrido,"R$ 84,68",23112.0,"R$ 0,85","1,06%","3,00%","-5,02%","0,89",N/A,N/A
SADI11,Títulos e Val. Mob.,"R$ 82,20",3223.0,"R$ 1,03","1,17%","3,52%","-3,01%","0,84",N/A,N/A
SARE11,Híbrido,"R$ 57,49",19720.0,"R$ 0,62","1,12%","3,22%","-9,38%","0,61","6,20%",N/A
SCPF11,Shoppings,"R$ 4,96",576.0,"R$ 0,05","0,91%","0,91%","0,00%","0,42","29,30%",N/A
SDIL11,Logística,"R$ 91,55",6960.0,"R$ 0,83","0,95%","2,77%","-2,39%","0,94","2,60%",N/A
SEQR11,Outros,"R$ 60,38",2292.0,"R$ 0,69","1,16%","3,46%","-1,51%","0,65","0,00%",N/A
SEQR11,Outros,"R$ 60,38",2292.0,"R$ 0,69","1,16%","3,46%","-1,56%","0,65","0,00%",N/A
SHPH11,Shoppings,"R$ 620,00",301.0,"R$ 3,40","0,51%","1,49%","1,37%","0,69","10,80%",N/A
SNAG11,Títulos e Valores Mobiliários,"R$ 100,45",8614.0,"R$ 1,20","1,19%","3,43%","-0,10%","1,00",N/A,N/A
SNCI11,Títulos e Val. Mob.,"R$ 91,66",7454.0,"R$ 1,05","1,10%","3,17%","-0,71%","0,94",N/A,N/A
SNFF11,Títulos e Val. Mob.,"R$ 82,79",3516.0,"R$ 0,65","0,78%","2,30%","-1,15%","0,93",N/A,N/A
SNID11,Renda,"R$ 100,43",658.0,"R$ 0,94","0,94%","0,98%","-1,68%",N/A,N/A,N/A
SNLG11,Logística,"R$ 35,00",432.0,"R$ 0,35","0,91%","0,91%","0,00%","0,57","0,00%",N/A
SPTW11,Lajes Corporativas,"R$ 38,54",1931.0,"R$ 0,42","1,09%","3,20%","-1,15%","0,69","0,00%",N/A
SPVJ11,Outros,N/A,N/A,"R$ 0,70","0,00%",N/A,"0,00%",N/A,N/A,N/A
SRVD11,Títulos e Val. Mob.,"R$ 7,07",2.0,"R$ 0,10","1,01%","1,01%","0,00%","9,57",N/A,N/A
STRX11,Híbrido,"R$ 22,96",3180000.0,"R$ 0,72","0,00%",N/A,"0,00%","0,14",N/A,N/A
TEPP11,Lajes Corporativas,"R$ 73,85",2960.0,"R$ 0,51","0,75%","2,21%","1,04%","0,77","9,06%","18,03%"
TGAR11,Outros,"R$ 111,60",27128.0,"R$ 1,34","1,21%","3,46%","-1,84%","0,87",N/A,N/A
TORD11,Outros,"R$ 3,40",146792.0,"R$ 0,05","0,93%","0,93%","0,00%","0,24",N/A,N/A
TRNT11,Lajes Corporativas,"R$ 100,89",1.0,"R$ 0,45","0,45%","1,21%","-6,63%","0,51","49,90%",N/A
TRXF11,Outros,"R$ 103,36",22010.0,"R$ 0,85","0,83%","2,46%","-1,83%","1,00","0,00%",N/A
URPR11,Outros,"R$ 90,05",26908.0,"R$ 1,33","1,44%","3,99%","-7,06%","0,90",N/A,N/A
VCJR11,Títulos e Val. Mob.,"R$ 85,93",12754.0,"R$ 1,20","1,39%","3,65%","-2,41%","0,90",N/A,N/A
VCRA11,Títulos e Valores Mobiliários,"R$ 100,80",9396.0,"R$ 1,50","1,48%","3,79%","-4,88%","0,98",N/A,N/A
VCRI11,,"R$ 7,78",77661.0,"R$ 0,11","1,39%","3,92%","-7,83%","0,82",N/A,N/A
VCRR11,Residencial,"R$ 72,00",2031.0,"R$ 0,67","0,97%","2,87%","-0,20%","0,56",N/A,N/A
VGHF11,Títulos e Val. Mob.,"R$ 8,89",241421.0,"R$ 0,10","1,13%","3,34%","-2,11%","0,97",N/A,N/A
VGIA11,Títulos e Val. Mob.,"R$ 9,43",800193.0,"R$ 0,15","1,49%","4,45%","-0,71%","0,99",N/A,N/A
VGIP11,Outros,"R$ 80,30",21131.0,"R$ 1,10","1,39%","3,44%","-3,33%","0,89",N/A,N/A
VGIR11,Títulos e Val. Mob.,"R$ 9,25",408660.0,"R$ 0,12","1,29%","3,90%","-3,23%","0,96",N/A,N/A
VIFI11,Títulos e Val. Mob.,"R$ 6,90",2857.0,"R$ 0,07","1,01%","2,90%","-4,72%","0,82",N/A,N/A
VILG11,Logística,"R$ 93,64",17670.0,"R$ 0,65","0,77%","2,10%","-3,23%","0,84","0,00%",N/A
VINO11,Lajes Corporativas,"R$ 42,85",17524.0,"R$ 0,31","0,80%","2,24%","-8,19%","0,79","4,20%",N/A
VISC11,Shoppings,"R$ 107,22",26476.0,"R$ 0,82","0,81%","2,35%","-1,62%","0,87","8,30%",N/A
VIUR11,Títulos e Val. Mob.,"R$ 7,18",78931.0,"R$ 0,07","1,19%","3,33%","-7,23%","0,79","0,00%",N/A
VJFD11,Híbrido,N/A,N/A,"R$ 1,02","0,00%",N/A,"0,00%",N/A,N/A,N/A
VLOL11,Lajes Corporativas,"R$ 97,38",2293.0,"R$ 0,10","0,11%","1,38%","-2,64%","0,87","0,00%",N/A
VOTS11,Títulos e Val. Mob.,"R$ 80,51",169.0,"R$ 1,16","1,36%","3,97%","4,52%","0,86",N/A,N/A
VRTA11,Títulos e Val. Mob.,"R$ 82,62",25407.0,"R$ 0,95","1,14%","3,34%","-6,74%","0,90",N/A,N/A
VSHO11,Shoppings,"R$ 64,44",1079.0,"R$ 0,69","1,12%","3,15%","-3,37%","0,64","12,96%",N/A
VSLH11,Outros,"R$ 3,91",155499.0,"R$ 0,03","0,61%","2,89%","-35,39%","0,38",N/A,N/A
VTLT11,Logística,"R$ 91,77",495.0,"R$ 0,88","1,00%","2,95%","-0,32%","0,91","0,00%","0,00%"
VVPR11,Híbrido,"R$ 101,50",2211.0,"R$ 0,89","0,88%","6,57%","2,01%","1,04","0,00%",N/A
VXXV11,Outros,"R$ 1.001,00",1999.0,"R$ 10,76",N/A,N/A,N/A,"0,99",N/A,N/A
WPLZ11,Shoppings,"R$ 62,37",128.0,"R$ 0,45","0,71%","1,96%","-7,09%","0,71","11,00%",N/A
WTSP11B,Híbrido,"R$ 34,87",4.0,"R$ 0,21","0,60%","1,80%","-5,70%","0,48",N/A,N/A
XPCA11,Títulos e Val. Mob.,"R$ 9,88",230155.0,"R$ 0,15","1,54%","4,16%","-2,41%","1,04",N/A,N/A
XPCI11,Outros,"R$ 80,31",19305.0,"R$ 0,95","1,17%","3,64%","1,63%","0,89",N/A,N/A
XPCM11,Lajes Corporativas,"R$ 13,21",1919.0,"R$ 0,10","0,79%","2,28%","-14,05%","0,31","100,00%",N/A
XPHT11,Hotel,"R$ 106,01",53.0,"R$ 1,10","1,11%","3,28%","-5,61%","1,13","64,90%",N/A
XPID11,Renda,"R$ 83,10",3952.0,"R$ 0,45","0,53%","0,53%","0,00%",N/A,N/A,N/A
XPIN11,Outros,"R$ 69,90",5581.0,"R$ 0,65","0,94%","2,80%","0,52%","0,68","17,30%","12,00%"
XPLG11,Logística,"R$ 97,70",45903.0,"R$ 0,74","0,79%","2,39%","-0,35%","0,86","8,80%","1,20%"
